valid_loss,epoch,step,train_loss,test_loss,test_metric,test_roc,test_acc,test_f1
0.6962859630584717,0,7,,,,,,
0.6676505208015442,1,15,,,,,,
0.6221124529838562,2,23,,,,,,
0.5705681443214417,3,31,,,,,,
0.5294628143310547,4,39,,,,,,
0.5062140226364136,5,47,,,,,,
,6,49,0.544498085975647,,,,,
0.4897838234901428,6,55,,,,,,
0.47873038053512573,7,63,,,,,,
0.4706401824951172,8,71,,,,,,
0.46255362033843994,9,79,,,,,,
0.4567078649997711,10,87,,,,,,
0.45320555567741394,11,95,,,,,,
,12,99,0.5094428062438965,,,,,
0.450607568025589,12,103,,,,,,
0.44927892088890076,13,111,,,,,,
0.4459523856639862,14,119,,,,,,
0.44285455346107483,15,127,,,,,,
0.4430922865867615,16,135,,,,,,
0.43920591473579407,17,143,,,,,,
,18,149,0.5169720649719238,,,,,
0.43780553340911865,18,151,,,,,,
0.43655896186828613,19,159,,,,,,
0.43666982650756836,20,167,,,,,,
0.433746874332428,21,175,,,,,,
0.43275851011276245,22,183,,,,,,
0.4326292872428894,23,191,,,,,,
,24,199,0.4495169222354889,,,,,
0.4304679036140442,24,199,,,,,,
0.42955711483955383,25,207,,,,,,
0.4293379485607147,26,215,,,,,,
0.43115487694740295,27,223,,,,,,
0.4302067756652832,28,231,,,,,,
0.4300101101398468,29,239,,,,,,
0.4293884038925171,30,247,,,,,,
,31,249,0.49332961440086365,,,,,
0.42806050181388855,31,255,,,,,,
0.4268181622028351,32,263,,,,,,
0.427299827337265,33,271,,,,,,
0.42669060826301575,34,279,,,,,,
0.4279242157936096,35,287,,,,,,
0.42740026116371155,36,295,,,,,,
,37,299,0.4955112934112549,,,,,
0.4277248978614807,37,303,,,,,,
0.42592334747314453,38,311,,,,,,
0.4260813593864441,39,319,,,,,,
0.4251687228679657,40,327,,,,,,
0.4250856637954712,41,335,,,,,,
0.4260448217391968,42,343,,,,,,
,43,349,0.48572754859924316,,,,,
0.42411476373672485,43,351,,,,,,
0.42465174198150635,44,359,,,,,,
0.42432060837745667,45,367,,,,,,
0.4231816232204437,46,375,,,,,,
0.422570139169693,47,383,,,,,,
0.42367830872535706,48,391,,,,,,
,49,399,0.5020096302032471,,,,,
0.4222663640975952,49,399,,,,,,
0.42174553871154785,50,407,,,,,,
0.42166951298713684,51,415,,,,,,
0.42096060514450073,52,423,,,,,,
0.42339542508125305,53,431,,,,,,
0.42173269391059875,54,439,,,,,,
0.42199382185935974,55,447,,,,,,
,56,449,0.46159452199935913,,,,,
0.42217931151390076,56,455,,,,,,
0.42078810930252075,57,463,,,,,,
0.41977939009666443,58,471,,,,,,
0.42160817980766296,59,479,,,,,,
0.42171308398246765,60,487,,,,,,
0.42129069566726685,61,495,,,,,,
,62,499,0.4808019995689392,,,,,
0.4200168251991272,62,503,,,,,,
0.4201374053955078,63,511,,,,,,
0.4183637201786041,64,519,,,,,,
0.4207644760608673,65,527,,,,,,
0.420931339263916,66,535,,,,,,
0.4189334511756897,67,543,,,,,,
,68,549,0.48218971490859985,,,,,
0.4186093807220459,68,551,,,,,,
0.41958087682724,69,559,,,,,,
0.4204307496547699,70,567,,,,,,
0.4184287190437317,71,575,,,,,,
0.4187566041946411,72,583,,,,,,
0.41902032494544983,73,591,,,,,,
,74,599,0.48296019434928894,,,,,
0.41798099875450134,74,599,,,,,,
0.4191431999206543,75,607,,,,,,
0.41921356320381165,76,615,,,,,,
0.41854897141456604,77,623,,,,,,
0.4191407561302185,78,631,,,,,,
0.419489324092865,79,639,,,,,,
0.4198647439479828,80,647,,,,,,
,81,649,0.4802081286907196,,,,,
0.41926416754722595,81,655,,,,,,
0.42016080021858215,82,663,,,,,,
0.41872045397758484,83,671,,,,,,
0.41900837421417236,84,679,,,,,,
0.4182857573032379,85,687,,,,,,
0.41853636503219604,86,695,,,,,,
,87,699,0.4627278745174408,,,,,
0.41804805397987366,87,703,,,,,,
0.4187086522579193,88,711,,,,,,
0.41918623447418213,89,719,,,,,,
0.41917598247528076,90,727,,,,,,
0.4193093478679657,91,735,,,,,,
0.4189809262752533,92,743,,,,,,
,93,749,0.4782567620277405,,,,,
0.41831913590431213,93,751,,,,,,
0.4184432625770569,94,759,,,,,,
0.4187049865722656,95,767,,,,,,
,96,768,,0.4187049865722656,0.8964072721673123,0.8964072721673123,0.8019188486907856,0.7989787926033763
,96,768,,0.41691356897354126,0.8949585179548297,0.8949585179548297,0.8055166899860084,0.8078241803865537
