valid_loss,epoch,step,train_loss,test_loss,test_metric,test_roc,test_acc,test_f1
0.6979723572731018,0,7,,,,,,
0.6909972429275513,1,15,,,,,,
0.6751176118850708,2,23,,,,,,
0.6474354267120361,3,31,,,,,,
0.6156878471374512,4,39,,,,,,
0.5866746306419373,5,47,,,,,,
,6,49,0.6272050142288208,,,,,
0.5623160600662231,6,55,,,,,,
0.5411165356636047,7,63,,,,,,
0.528045117855072,8,71,,,,,,
0.5196253061294556,9,79,,,,,,
0.5113124847412109,10,87,,,,,,
0.5066547989845276,11,95,,,,,,
,12,99,0.565782904624939,,,,,
0.49807053804397583,12,103,,,,,,
0.4915817677974701,13,111,,,,,,
0.48889341950416565,14,119,,,,,,
0.48453307151794434,15,127,,,,,,
0.48076799511909485,16,135,,,,,,
0.47627565264701843,17,143,,,,,,
,18,149,0.530663251876831,,,,,
0.47524088621139526,18,151,,,,,,
0.4750044047832489,19,159,,,,,,
0.4727688729763031,20,167,,,,,,
0.47097527980804443,21,175,,,,,,
0.46858465671539307,22,183,,,,,,
0.46760034561157227,23,191,,,,,,
,24,199,0.5877262353897095,,,,,
0.46530675888061523,24,199,,,,,,
0.4630037546157837,25,207,,,,,,
0.46429574489593506,26,215,,,,,,
0.4643818736076355,27,223,,,,,,
0.462068647146225,28,231,,,,,,
0.46048322319984436,29,239,,,,,,
,30,240,,0.46048322319984436,0.8658328203147422,0.8658328203147422,0.771537077753348,0.7454373990269682
,30,240,,0.46880772709846497,0.8602646419905874,0.8602646419905874,0.7699380371776934,0.7534468428538991
